loan_id,application_date,branch,sector,employment_type,loan_amount,tenure_months,interest_rate,annual_income,credit_score,has_collateral,previous_loans,days_past_due_history,recovery_agent_assigned,defaulted
NL200089,2023-01-06,Birgunj-02,Manufacturing,Salaried,393000.0,36,10.2,587000.0,782.0,Yes,1,25,No,0
NL200090,2023-01-06,Biratnagar-03,Service,Salaried,399000.0,24,10.58,494000.0,693.0,Yes,1,26,No,0
NL200091,2023-01-06,Pokhara-04,Trade,Informal,289000.0,48,10.32,709000.0,850.0,Yes,2,17,No,0
NL200092,2023-01-06,Nepalgunj-02,Trade,Business Owner,250000.0,48,13.77,131000.0,502.0,No,2,19,No,0
NL200093,2023-01-06,Pokhara-04,Service,Self-Employed,100000.0,12,9.73,357000.0,786.0,Yes,2,5,No,0
NL200094,2023-01-06,Birgunj-03,Service,Salaried,115000.0,12,9.91,467000.0,796.0,Yes,2,12,No,0
NL200095,2023-01-06,Kathmandu-04,Service,Informal,339000.0,48,10.61,,625.0,Yes,0,14,No,0
NL200096,2023-01-06,Pokhara-01,Service,Informal,309000.0,24,12.18,540000.0,559.0,Yes,1,8,No,0
NL200097,2023-01-06,Bhaktapur-03,Trade,Self-Employed,341000.0,24,11.18,155000.0,842.0,No,2,10,No,0
NL200098,2023-01-06,Biratnagar-02,Construction,Business Owner,601000.0,24,12.83,751000.0,562.0,No,1,12,No,0
NL200099,2023-01-06,Birgunj-01,Manufacturing,Informal,318000.0,24,11.68,,739.0,No,2,4,No,0
NL200100,2023-01-06,Dharan-01,Trade,Salaried,228000.0,24,11.12,434000.0,782.0,No,3,31,No,0
NL200101,2023-01-07,Biratnagar-02,Service,Salaried,253000.0,48,10.52,784000.0,,Yes,0,3,No,0
NL200102,2023-01-07,Lalitpur-03,Service,Self-Employed,356000.0,24,11.91,536000.0,624.0,Yes,1,20,No,0
NL200103,2023-01-07,Birgunj-02,Manufacturing,Self-Employed,223000.0,18,9.41,657000.0,808.0,Yes,0,1,No,0
NL200104,2023-01-07,Kathmandu-03,Manufacturing,Business Owner,659000.0,12,11.11,583000.0,611.0,Yes,0,8,No,0
NL200105,2023-01-07,Nepalgunj-02,Manufacturing,Self-Employed,294000.0,60,13.31,287000.0,587.0,No,3,6,Yes,1
NL200106,2023-01-07,Dharan-03,Manufacturing,Salaried,358000.0,24,14.65,1293000.0,384.0,Yes,2,1,No,1
NL200107,2023-01-07,Bhaktapur-02,Trade,Self-Employed,161000.0,24,10.37,1058000.0,747.0,Yes,1,0,No,0
NL200108,2023-01-07,Bhaktapur-03,Trade,Business Owner,659000.0,6,11.46,638000.0,605.0,Yes,1,3,No,0
NL200109,2023-01-07,Kathmandu-02,Trade,Salaried,873000.0,48,10.14,537000.0,714.0,Yes,0,32,No,1
NL200110,2023-01-07,Pokhara-03,Service,Self-Employed,107000.0,24,12.67,779000.0,626.0,No,2,19,No,0
NL200111,2023-01-07,Kathmandu-02,Service,Salaried,401000.0,60,10.74,1068000.0,767.0,No,4,3,No,0
NL200112,2023-01-07,Janakpur-02,Agriculture,Business Owner,274000.0,12,11.61,1592000.0,771.0,No,4,6,No,0
NL200113,2023-01-07,Lalitpur-02,Trade,Salaried,367000.0,18,13.58,350000.0,545.0,No,3,7,No,0
NL200114,2023-01-08,Butwal-03,Manufacturing,Salaried,416000.0,12,11.99,935000.0,596.0,Yes,5,8,No,0
NL200115,2023-01-08,Birgunj-03,Trade,Business Owner,55000.0,18,9.4,463000.0,695.0,Yes,1,5,Yes,0
NL200116,2023-01-08,Bhaktapur-02,Service,Salaried,524000.0,60,9.91,180000.0,774.0,Yes,2,22,No,1
NL200117,2023-01-08,Nepalgunj-01,Agriculture,Business Owner,683000.0,24,11.28,822000.0,651.0,No,2,8,No,0
NL200118,2023-01-08,Lalitpur-01,Trade,Self-Employed,743000.0,36,11.75,1214000.0,660.0,Yes,2,35,No,0
NL200119,2023-01-08,Nepalgunj-04,Service,Business Owner,146000.0,36,11.45,894000.0,673.0,No,1,11,No,0
NL200120,2023-01-08,Dharan-02,Service,Salaried,290000.0,18,13.1,440000.0,557.0,No,3,16,No,0
NL200121,2023-01-08,Butwal-02,Agriculture,Salaried,198000.0,24,12.44,622000.0,597.0,No,3,3,No,0
NL200122,2023-01-08,Nepalgunj-04,Trade,Salaried,71000.0,36,10.99,754000.0,622.0,Yes,2,12,No,0
NL200123,2023-01-08,Biratnagar-01,Tourism,Informal,186000.0,24,10.84,697000.0,735.0,Yes,1,10,No,0
NL200124,2023-01-09,Bhaktapur-04,Tourism,Business Owner,132000.0,18,10.21,1048000.0,811.0,Yes,1,6,Yes,0
NL200125,2023-01-09,Lalitpur-03,Agriculture,Salaried,381000.0,48,11.69,877000.0,554.0,Yes,0,2,No,0
NL200126,2023-01-09,Janakpur-01,Trade,Salaried,87000.0,24,10.81,342000.0,709.0,No,2,3,No,0
NL200127,2023-01-09,Biratnagar-01,Manufacturing,Salaried,142000.0,60,12.12,497000.0,,No,0,26,No,0
NL200128,2023-01-09,Nepalgunj-02,Trade,Salaried,201000.0,36,11.85,358000.0,592.0,Yes,0,4,No,0
NL200129,2023-01-09,Pokhara-02,Construction,Salaried,528000.0,24,12.34,540000.0,549.0,Yes,1,2,Yes,1
NL200130,2023-01-09,Janakpur-03,Service,Informal,2382000.0,24,11.13,,662.0,No,1,0,No,0
NL200131,2023-01-09,Nepalgunj-03,Trade,Salaried,372000.0,48,12.02,1616000.0,584.0,Yes,3,1,No,0
NL200132,2023-01-09,Pokhara-01,Service,Informal,137000.0,60,11.61,,675.0,No,2,13,No,0
NL200133,2023-01-09,Biratnagar-04,Agriculture,Salaried,178000.0,24,13.07,356000.0,545.0,Yes,0,30,No,0
NL200134,2023-01-09,Dharan-04,Construction,Business Owner,486000.0,12,11.89,515000.0,535.0,Yes,1,20,No,0
NL200135,2023-01-09,Bhaktapur-02,Service,Self-Employed,108000.0,6,9.98,208000.0,742.0,Yes,2,0,No,0
NL200136,2023-01-09,Kathmandu-01,Service,Salaried,675000.0,18,12.31,397000.0,659.0,No,0,7,No,0
NL200137,2023-01-09,Bhaktapur-04,Agriculture,Business Owner,364000.0,18,10.56,543000.0,656.0,Yes,0,0,No,0
NL200138,2023-01-10,Birgunj-04,Agriculture,Salaried,270000.0,24,13.14,1359000.0,592.0,No,2,32,No,0
NL200139,2023-01-10,Lalitpur-02,Agriculture,Informal,84000.0,12,9.58,534000.0,712.0,Yes,3,4,No,0
NL200140,2023-01-10,Pokhara-02,Service,Business Owner,591000.0,24,12.05,380000.0,623.0,No,1,46,No,0
NL200141,2023-01-10,Janakpur-01,Manufacturing,Informal,168000.0,48,10.06,,714.0,Yes,1,12,No,0
NL200142,2023-01-10,Kathmandu-04,Construction,Business Owner,333000.0,12,12.41,1841000.0,597.0,No,3,2,Yes,1
NL200143,2023-01-10,Kathmandu-03,Trade,Salaried,264000.0,36,14.27,513000.0,539.0,No,2,9,No,0
NL200144,2023-01-10,Biratnagar-01,Service,Self-Employed,90000.0,6,11.51,515000.0,571.0,Yes,1,7,No,0
NL200145,2023-01-10,Kathmandu-01,Trade,Business Owner,249000.0,36,10.51,209000.0,680.0,Yes,1,17,No,0
NL200146,2023-01-11,Kathmandu-02,Service,Salaried,120000.0,48,12.96,677000.0,546.0,Yes,0,27,No,0
NL200147,2023-01-11,Lalitpur-04,Agriculture,Self-Employed,182000.0,18,10.06,,812.0,Yes,1,2,No,0
NL200148,2023-01-11,Lalitpur-01,Trade,Salaried,410000.0,36,14.15,1218000.0,511.0,No,2,32,Yes,1
NL200149,2023-01-11,Nepalgunj-01,Service,Business Owner,502000.0,12,10.91,652000.0,626.0,Yes,0,1,Yes,1
NL200150,2023-01-11,Lalitpur-01,Trade,Self-Employed,293000.0,18,11.41,528000.0,753.0,No,2,16,No,0
NL200151,2023-01-11,Birgunj-01,Construction,Salaried,153000.0,6,11.74,215000.0,667.0,No,4,20,No,0
NL200152,2023-01-11,Dharan-01,Agriculture,Informal,182000.0,18,12.0,460000.0,606.0,Yes,1,29,No,0
NL200153,2023-01-11,Butwal-02,Service,Business Owner,180000.0,18,9.3,428000.0,749.0,Yes,1,9,No,0
NL200154,2023-01-11,Butwal-03,Agriculture,Salaried,60000.0,36,12.32,528000.0,552.0,Yes,0,13,No,0
NL200155,2023-01-11,Pokhara-03,Trade,Salaried,313000.0,18,12.71,144000.0,613.0,No,2,3,No,0
NL200156,2023-01-11,Nepalgunj-04,Construction,Business Owner,85000.0,36,13.32,278000.0,486.0,Yes,0,6,No,0
NL200157,2023-01-11,Kathmandu-03,Agriculture,Salaried,314000.0,18,9.04,360000.0,724.0,Yes,2,6,No,0
NL200158,2023-01-11,Lalitpur-01,Trade,Self-Employed,99000.0,12,11.17,667000.0,693.0,No,0,1,No,0
NL200159,2023-01-11,Nepalgunj-03,Tourism,Business Owner,120000.0,24,10.21,148000.0,,Yes,0,19,No,0
NL200160,2023-01-11,Kathmandu-03,Trade,Salaried,490000.0,36,11.53,1152000.0,652.0,No,1,10,No,0
NL200161,2023-01-11,Lalitpur-04,Manufacturing,Salaried,302000.0,48,12.25,1056000.0,648.0,No,0,1,No,0
NL200162,2023-01-11,Lalitpur-03,Trade,Salaried,72000.0,36,11.09,264000.0,650.0,Yes,2,2,No,0
NL200163,2023-01-12,Kathmandu-02,Agriculture,Salaried,195000.0,24,10.16,2260000.0,669.0,Yes,0,2,No,0
NL200164,2023-01-12,Lalitpur-01,Trade,Self-Employed,361000.0,60,11.92,567000.0,652.0,No,0,4,Yes,0
NL200165,2023-01-12,Birgunj-03,Trade,Salaried,186000.0,18,12.7,,552.0,Yes,1,28,No,1
NL200166,2023-01-12,Butwal-03,Service,Informal,229000.0,60,14.01,,425.0,Yes,2,3,No,0
NL200167,2023-01-12,Kathmandu-04,Tourism,Business Owner,356000.0,18,10.47,634000.0,838.0,Yes,2,2,No,0
NL200168,2023-01-12,Janakpur-02,Trade,Salaried,307000.0,18,12.75,526000.0,578.0,No,3,4,No,0
NL200169,2023-01-12,Kathmandu-04,Manufacturing,Self-Employed,141000.0,18,12.24,250000.0,623.0,No,2,6,No,0
NL200170,2023-01-12,Butwal-04,Service,Self-Employed,302000.0,24,10.89,373000.0,746.0,No,2,4,No,0
NL200171,2023-01-12,Nepalgunj-01,Construction,Self-Employed,239000.0,24,11.73,610000.0,672.0,No,1,11,No,0
NL200172,2023-01-12,Birgunj-01,Trade,Self-Employed,1081000.0,6,15.05,820000.0,504.0,No,2,12,No,0
NL200173,2023-01-12,Biratnagar-04,Manufacturing,Salaried,274000.0,18,13.47,1194000.0,529.0,Yes,1,23,No,0
NL200174,2023-01-12,Lalitpur-01,Tourism,Salaried,328000.0,24,10.92,368000.0,724.0,Yes,1,8,No,0
NL200175,2023-01-12,Bhaktapur-02,Service,Salaried,360000.0,36,10.91,514000.0,697.0,Yes,1,35,No,0
NL200176,2023-01-12,Nepalgunj-03,Service,Salaried,233000.0,60,13.03,325000.0,591.0,No,1,3,No,0
NL200177,2023-01-12,Pokhara-02,Construction,Business Owner,173000.0,60,11.35,963000.0,636.0,No,1,29,No,0
NL200178,2023-01-12,Kathmandu-02,Service,Informal,419000.0,24,12.11,403000.0,644.0,No,1,2,No,0
NL200179,2023-01-12,Dharan-02,Service,Business Owner,421000.0,24,11.52,340000.0,664.0,No,1,11,No,0
NL200180,2023-01-12,Butwal-04,Trade,Informal,1414000.0,36,10.98,508000.0,680.0,Yes,0,74,No,1
NL200181,2023-01-12,Kathmandu-03,Agriculture,Self-Employed,518000.0,36,13.16,173000.0,603.0,No,1,49,Yes,1
NL200182,2023-01-13,Kathmandu-03,Construction,Salaried,524000.0,36,10.04,684000.0,707.0,Yes,3,19,No,0
NL200183,2023-01-13,Lalitpur-01,Manufacturing,Informal,508000.0,36,10.62,,696.0,No,0,6,No,0
NL200184,2023-01-13,Kathmandu-03,Manufacturing,Salaried,177000.0,24,9.84,2719000.0,723.0,Yes,1,6,No,0
NL200185,2023-01-13,Butwal-01,Service,Salaried,115000.0,48,12.09,333000.0,713.0,No,1,7,No,0
NL200186,2023-01-13,Lalitpur-02,Trade,Informal,140000.0,36,10.45,,711.0,No,2,7,No,0
NL200187,2023-01-13,Butwal-01,Trade,Business Owner,497000.0,12,12.96,919000.0,597.0,No,2,10,No,0
NL200188,2023-01-13,Lalitpur-04,Trade,Informal,861000.0,24,11.23,,628.0,Yes,1,2,Yes,1
NL200189,2023-01-13,Janakpur-03,Trade,Salaried,514000.0,18,12.53,929000.0,559.0,Yes,2,12,No,0
NL200190,2023-01-13,Dharan-02,Manufacturing,Business Owner,262000.0,12,11.76,411000.0,659.0,No,0,6,No,0
NL200191,2023-01-13,Pokhara-03,Trade,Salaried,1043000.0,36,12.66,240000.0,564.0,Yes,1,22,Yes,1
NL200192,2023-01-13,Biratnagar-02,Trade,Self-Employed,213000.0,36,10.86,2557000.0,685.0,No,1,15,No,0
NL200193,2023-01-13,Kathmandu-03,Service,Informal,125000.0,60,9.85,673000.0,754.0,Yes,1,10,No,0
NL200194,2023-01-13,Kathmandu-03,Trade,Self-Employed,359000.0,60,11.89,562000.0,640.0,No,0,2,No,0
NL200195,2023-01-13,Birgunj-02,Trade,Business Owner,781000.0,24,12.86,806000.0,589.0,Yes,3,18,No,0
NL200196,2023-01-14,Kathmandu-01,Trade,Informal,157000.0,12,10.0,218000.0,687.0,Yes,1,5,No,0
NL200197,2023-01-14,Butwal-02,Trade,Informal,83000.0,12,9.5,368000.0,738.0,Yes,1,2,No,0
NL200198,2023-01-14,Pokhara-04,Service,Salaried,305000.0,60,13.84,256000.0,569.0,No,3,24,No,0
NL200199,2023-01-14,Lalitpur-02,Agriculture,Salaried,529000.0,18,12.3,542000.0,651.0,No,2,4,No,0
NL200200,2023-01-14,Birgunj-02,Construction,Informal,50000.0,18,11.66,208000.0,670.0,No,0,10,No,0
NL200201,2023-01-14,Birgunj-03,Agriculture,Self-Employed,617000.0,24,11.74,742000.0,,No,1,10,No,1
NL200202,2023-01-14,Dharan-02,Manufacturing,Self-Employed,106000.0,6,11.21,1018000.0,689.0,No,4,1,No,0
NL200203,2023-01-14,Lalitpur-04,Construction,Salaried,511000.0,36,13.18,995000.0,484.0,Yes,2,7,No,0
NL200204,2023-01-14,Birgunj-02,Service,Salaried,66000.0,48,11.52,642000.0,673.0,No,1,1,No,0
NL200205,2023-01-14,Nepalgunj-02,Manufacturing,Informal,98000.0,36,11.28,551000.0,,No,0,37,Yes,1
NL200206,2023-01-14,Bhaktapur-03,Service,Self-Employed,472000.0,24,11.3,377000.0,693.0,Yes,2,80,No,0
NL200207,2023-01-14,Nepalgunj-02,Service,Business Owner,738000.0,12,11.63,646000.0,,No,0,1,No,0
NL200208,2023-01-14,Dharan-01,Service,Salaried,295000.0,12,13.0,457000.0,524.0,No,1,4,No,0
NL200209,2023-01-14,Biratnagar-02,Trade,Salaried,1788000.0,18,13.03,153000.0,607.0,No,2,4,No,0
NL200210,2023-01-14,Nepalgunj-04,Agriculture,Self-Employed,138000.0,18,11.54,334000.0,,No,0,31,No,0
NL200211,2023-01-15,Janakpur-03,Trade,Informal,136000.0,12,10.77,799000.0,649.0,Yes,2,1,No,0
NL200212,2023-01-15,Bhaktapur-02,Manufacturing,Salaried,236000.0,24,14.34,243000.0,523.0,Yes,1,53,No,0
NL200213,2023-01-15,Janakpur-04,Construction,Salaried,228000.0,18,11.46,240000.0,664.0,No,2,15,Yes,1
NL200214,2023-01-15,Kathmandu-01,Service,Self-Employed,367000.0,24,13.55,432000.0,559.0,No,2,4,No,0
NL200215,2023-01-15,Lalitpur-02,Trade,Salaried,170000.0,18,12.38,127000.0,585.0,No,1,0,Yes,0
NL200216,2023-01-15,Kathmandu-02,Service,Self-Employed,454000.0,24,11.24,,725.0,No,0,1,No,0
NL200217,2023-01-15,Pokhara-03,Service,Self-Employed,446000.0,36,10.99,728000.0,,Yes,3,0,No,0
NL200218,2023-01-15,Janakpur-02,Tourism,Salaried,995000.0,12,11.21,880000.0,579.0,Yes,1,17,No,0
NL200219,2023-01-15,Butwal-01,Manufacturing,Business Owner,205000.0,24,14.01,561000.0,546.0,No,1,15,No,0
NL200220,2023-01-15,Butwal-01,Agriculture,Salaried,382000.0,24,11.96,288000.0,572.0,Yes,1,7,Yes,1
NL200221,2023-01-15,Kathmandu-04,Service,Business Owner,467000.0,36,13.49,228000.0,589.0,No,0,34,No,0
NL200222,2023-01-15,Birgunj-01,Agriculture,Business Owner,295000.0,48,11.03,688000.0,722.0,No,1,0,No,0
NL200223,2023-01-15,Pokhara-04,Agriculture,Business Owner,253000.0,36,10.74,762000.0,637.0,Yes,0,11,No,0
